station_id,station_name,latitude,longitude,timestamp,temperature
S109,Ang Mo Kio Avenue 5,1.3764,103.8492,2025-10-17T11:00:00+08:00,30.6
S106,Pulau Ubin,1.4168,103.9673,2025-10-17T11:00:00+08:00,31.3
S117,Banyan Road,1.256,103.679,2025-10-17T11:00:00+08:00,31.1
S107,East Coast Parkway,1.3135,103.9625,2025-10-17T11:00:00+08:00,29.8
S115,Tuas South Avenue 3,1.29377,103.61843,2025-10-17T11:00:00+08:00,30.3
S102,Semakau Landfill,1.189,103.768,2025-10-17T11:00:00+08:00,29.7
S60,Sentosa,1.25,103.8279,2025-10-17T11:00:00+08:00,30.7
S50,Clementi Road,1.3337,103.7768,2025-10-17T11:00:00+08:00,29.7
S44,Nanyang Avenue,1.34583,103.68166,2025-10-17T11:00:00+08:00,29.0
S43,Kim Chuan Road,1.3399,103.8878,2025-10-17T11:00:00+08:00,31.3
S24,Upper Changi Road North,1.3678,103.9826,2025-10-17T11:00:00+08:00,29.5
S06,Paya Lebar,1.3524,103.9007,2025-10-17T11:00:00+08:00,31.1
S111,Scotts Road,1.31055,103.8365,2025-10-17T11:00:00+08:00,29.6
S109,Ang Mo Kio Avenue 5,1.3764,103.8492,2025-10-17T11:15:00+08:00,30.0
S106,Pulau Ubin,1.4168,103.9673,2025-10-17T11:15:00+08:00,31.5
S117,Banyan Road,1.256,103.679,2025-10-17T11:15:00+08:00,31.0
S107,East Coast Parkway,1.3135,103.9625,2025-10-17T11:15:00+08:00,29.5
S115,Tuas South Avenue 3,1.29377,103.61843,2025-10-17T11:15:00+08:00,31.0
S102,Semakau Landfill,1.189,103.768,2025-10-17T11:15:00+08:00,29.6
S60,Sentosa,1.25,103.8279,2025-10-17T11:15:00+08:00,30.2
S50,Clementi Road,1.3337,103.7768,2025-10-17T11:15:00+08:00,30.5
S44,Nanyang Avenue,1.34583,103.68166,2025-10-17T11:15:00+08:00,28.7
S43,Kim Chuan Road,1.3399,103.8878,2025-10-17T11:15:00+08:00,30.9
S24,Upper Changi Road North,1.3678,103.9826,2025-10-17T11:15:00+08:00,30.9
S06,Paya Lebar,1.3524,103.9007,2025-10-17T11:15:00+08:00,31.7
S111,Scotts Road,1.31055,103.8365,2025-10-17T11:15:00+08:00,29.5
S109,Ang Mo Kio Avenue 5,1.3764,103.8492,2025-10-17T11:30:00+08:00,30.1
S106,Pulau Ubin,1.4168,103.9673,2025-10-17T11:30:00+08:00,31.7
S117,Banyan Road,1.256,103.679,2025-10-17T11:30:00+08:00,32.0
S107,East Coast Parkway,1.3135,103.9625,2025-10-17T11:30:00+08:00,29.8
S115,Tuas South Avenue 3,1.29377,103.61843,2025-10-17T11:30:00+08:00,30.3
S102,Semakau Landfill,1.189,103.768,2025-10-17T11:30:00+08:00,29.7
S60,Sentosa,1.25,103.8279,2025-10-17T11:30:00+08:00,30.2
S50,Clementi Road,1.3337,103.7768,2025-10-17T11:30:00+08:00,30.6
S44,Nanyang Avenue,1.34583,103.68166,2025-10-17T11:30:00+08:00,30.5
S43,Kim Chuan Road,1.3399,103.8878,2025-10-17T11:30:00+08:00,30.6
S24,Upper Changi Road North,1.3678,103.9826,2025-10-17T11:30:00+08:00,31.5
S06,Paya Lebar,1.3524,103.9007,2025-10-17T11:30:00+08:00,31.0
S111,Scotts Road,1.31055,103.8365,2025-10-17T11:30:00+08:00,27.7
S109,Ang Mo Kio Avenue 5,1.3764,103.8492,2025-10-17T11:45:00+08:00,30.3
S106,Pulau Ubin,1.4168,103.9673,2025-10-17T11:45:00+08:00,30.4
S117,Banyan Road,1.256,103.679,2025-10-17T11:45:00+08:00,31.8
S107,East Coast Parkway,1.3135,103.9625,2025-10-17T11:45:00+08:00,29.9
S115,Tuas South Avenue 3,1.29377,103.61843,2025-10-17T11:45:00+08:00,30.5
S102,Semakau Landfill,1.189,103.768,2025-10-17T11:45:00+08:00,29.9
S60,Sentosa,1.25,103.8279,2025-10-17T11:45:00+08:00,30.6
S50,Clementi Road,1.3337,103.7768,2025-10-17T11:45:00+08:00,30.3
S44,Nanyang Avenue,1.34583,103.68166,2025-10-17T11:45:00+08:00,30.0
S43,Kim Chuan Road,1.3399,103.8878,2025-10-17T11:45:00+08:00,27.4
S24,Upper Changi Road North,1.3678,103.9826,2025-10-17T11:45:00+08:00,31.0
S06,Paya Lebar,1.3524,103.9007,2025-10-17T11:45:00+08:00,29.8
S111,Scotts Road,1.31055,103.8365,2025-10-17T11:45:00+08:00,27.2
S109,Ang Mo Kio Avenue 5,1.3764,103.8492,2025-10-17T12:00:00+08:00,30.3
S106,Pulau Ubin,1.4168,103.9673,2025-10-17T12:00:00+08:00,30.8
S117,Banyan Road,1.256,103.679,2025-10-17T12:00:00+08:00,30.8
S107,East Coast Parkway,1.3135,103.9625,2025-10-17T12:00:00+08:00,29.9
S115,Tuas South Avenue 3,1.29377,103.61843,2025-10-17T12:00:00+08:00,30.7
S102,Semakau Landfill,1.189,103.768,2025-10-17T12:00:00+08:00,30.0
S60,Sentosa,1.25,103.8279,2025-10-17T12:00:00+08:00,30.5
S50,Clementi Road,1.3337,103.7768,2025-10-17T12:00:00+08:00,30.7
S44,Nanyang Avenue,1.34583,103.68166,2025-10-17T12:00:00+08:00,30.3
S43,Kim Chuan Road,1.3399,103.8878,2025-10-17T12:00:00+08:00,24.7
S24,Upper Changi Road North,1.3678,103.9826,2025-10-17T12:00:00+08:00,30.5
S06,Paya Lebar,1.3524,103.9007,2025-10-17T12:00:00+08:00,25.4
S111,Scotts Road,1.31055,103.8365,2025-10-17T12:00:00+08:00,27.6
S109,Ang Mo Kio Avenue 5,1.3764,103.8492,2025-10-17T12:15:00+08:00,27.7
S106,Pulau Ubin,1.4168,103.9673,2025-10-17T12:15:00+08:00,30.6
S117,Banyan Road,1.256,103.679,2025-10-17T12:15:00+08:00,31.4
S107,East Coast Parkway,1.3135,103.9625,2025-10-17T12:15:00+08:00,29.7
S115,Tuas South Avenue 3,1.29377,103.61843,2025-10-17T12:15:00+08:00,30.6
S102,Semakau Landfill,1.189,103.768,2025-10-17T12:15:00+08:00,30.2
S60,Sentosa,1.25,103.8279,2025-10-17T12:15:00+08:00,30.8
S50,Clementi Road,1.3337,103.7768,2025-10-17T12:15:00+08:00,30.4
S44,Nanyang Avenue,1.34583,103.68166,2025-10-17T12:15:00+08:00,30.1
S43,Kim Chuan Road,1.3399,103.8878,2025-10-17T12:15:00+08:00,24.2
S24,Upper Changi Road North,1.3678,103.9826,2025-10-17T12:15:00+08:00,29.6
S06,Paya Lebar,1.3524,103.9007,2025-10-17T12:15:00+08:00,24.0
S111,Scotts Road,1.31055,103.8365,2025-10-17T12:15:00+08:00,28.3
S109,Ang Mo Kio Avenue 5,1.3764,103.8492,2025-10-17T12:30:00+08:00,26.1
S106,Pulau Ubin,1.4168,103.9673,2025-10-17T12:30:00+08:00,29.5
S117,Banyan Road,1.256,103.679,2025-10-17T12:30:00+08:00,32.0
S107,East Coast Parkway,1.3135,103.9625,2025-10-17T12:30:00+08:00,29.9
S115,Tuas South Avenue 3,1.29377,103.61843,2025-10-17T12:30:00+08:00,30.2
S102,Semakau Landfill,1.189,103.768,2025-10-17T12:30:00+08:00,29.7
S60,Sentosa,1.25,103.8279,2025-10-17T12:30:00+08:00,30.8
S50,Clementi Road,1.3337,103.7768,2025-10-17T12:30:00+08:00,30.7
S44,Nanyang Avenue,1.34583,103.68166,2025-10-17T12:30:00+08:00,30.5
S43,Kim Chuan Road,1.3399,103.8878,2025-10-17T12:30:00+08:00,25.7
S24,Upper Changi Road North,1.3678,103.9826,2025-10-17T12:30:00+08:00,28.1
S06,Paya Lebar,1.3524,103.9007,2025-10-17T12:30:00+08:00,24.5
S111,Scotts Road,1.31055,103.8365,2025-10-17T12:30:00+08:00,29.9
S109,Ang Mo Kio Avenue 5,1.3764,103.8492,2025-10-17T12:45:00+08:00,27.2
S106,Pulau Ubin,1.4168,103.9673,2025-10-17T12:45:00+08:00,29.4
S117,Banyan Road,1.256,103.679,2025-10-17T12:45:00+08:00,31.8
S107,East Coast Parkway,1.3135,103.9625,2025-10-17T12:45:00+08:00,30.0
S115,Tuas South Avenue 3,1.29377,103.61843,2025-10-17T12:45:00+08:00,30.4
S102,Semakau Landfill,1.189,103.768,2025-10-17T12:45:00+08:00,29.7
S60,Sentosa,1.25,103.8279,2025-10-17T12:45:00+08:00,32.4
S50,Clementi Road,1.3337,103.7768,2025-10-17T12:45:00+08:00,31.5
S44,Nanyang Avenue,1.34583,103.68166,2025-10-17T12:45:00+08:00,30.1
S43,Kim Chuan Road,1.3399,103.8878,2025-10-17T12:45:00+08:00,28.4
S24,Upper Changi Road North,1.3678,103.9826,2025-10-17T12:45:00+08:00,26.8
S06,Paya Lebar,1.3524,103.9007,2025-10-17T12:45:00+08:00,25.9
S111,Scotts Road,1.31055,103.8365,2025-10-17T12:45:00+08:00,30.1
S109,Ang Mo Kio Avenue 5,1.3764,103.8492,2025-10-17T13:00:00+08:00,28.9
S106,Pulau Ubin,1.4168,103.9673,2025-10-17T13:00:00+08:00,28.9
S117,Banyan Road,1.256,103.679,2025-10-17T13:00:00+08:00,31.5
S107,East Coast Parkway,1.3135,103.9625,2025-10-17T13:00:00+08:00,30.4
S115,Tuas South Avenue 3,1.29377,103.61843,2025-10-17T13:00:00+08:00,30.5
S102,Semakau Landfill,1.189,103.768,2025-10-17T13:00:00+08:00,29.3
S60,Sentosa,1.25,103.8279,2025-10-17T13:00:00+08:00,30.6
S50,Clementi Road,1.3337,103.7768,2025-10-17T13:00:00+08:00,31.0
S44,Nanyang Avenue,1.34583,103.68166,2025-10-17T13:00:00+08:00,30.5
S43,Kim Chuan Road,1.3399,103.8878,2025-10-17T13:00:00+08:00,30.0
S24,Upper Changi Road North,1.3678,103.9826,2025-10-17T13:00:00+08:00,26.4
S06,Paya Lebar,1.3524,103.9007,2025-10-17T13:00:00+08:00,28.0
S111,Scotts Road,1.31055,103.8365,2025-10-17T13:00:00+08:00,31.4
S109,Ang Mo Kio Avenue 5,1.3764,103.8492,2025-10-17T13:15:00+08:00,30.5
S106,Pulau Ubin,1.4168,103.9673,2025-10-17T13:15:00+08:00,29.8
S117,Banyan Road,1.256,103.679,2025-10-17T13:15:00+08:00,32.1
S107,East Coast Parkway,1.3135,103.9625,2025-10-17T13:15:00+08:00,30.3
S115,Tuas South Avenue 3,1.29377,103.61843,2025-10-17T13:15:00+08:00,30.3
S102,Semakau Landfill,1.189,103.768,2025-10-17T13:15:00+08:00,29.4
S60,Sentosa,1.25,103.8279,2025-10-17T13:15:00+08:00,31.0
S50,Clementi Road,1.3337,103.7768,2025-10-17T13:15:00+08:00,30.1
S44,Nanyang Avenue,1.34583,103.68166,2025-10-17T13:15:00+08:00,30.4
S43,Kim Chuan Road,1.3399,103.8878,2025-10-17T13:15:00+08:00,30.0
S24,Upper Changi Road North,1.3678,103.9826,2025-10-17T13:15:00+08:00,26.8
S111,Scotts Road,1.31055,103.8365,2025-10-17T13:15:00+08:00,31.3
S06,Paya Lebar,1.3524,103.9007,2025-10-17T13:15:00+08:00,29.5
S109,Ang Mo Kio Avenue 5,1.3764,103.8492,2025-10-17T13:30:00+08:00,30.2
S106,Pulau Ubin,1.4168,103.9673,2025-10-17T13:30:00+08:00,29.8
S117,Banyan Road,1.256,103.679,2025-10-17T13:30:00+08:00,31.1
S107,East Coast Parkway,1.3135,103.9625,2025-10-17T13:30:00+08:00,30.4
S115,Tuas South Avenue 3,1.29377,103.61843,2025-10-17T13:30:00+08:00,30.4
S102,Semakau Landfill,1.189,103.768,2025-10-17T13:30:00+08:00,29.7
S60,Sentosa,1.25,103.8279,2025-10-17T13:30:00+08:00,31.6
S50,Clementi Road,1.3337,103.7768,2025-10-17T13:30:00+08:00,30.1
S44,Nanyang Avenue,1.34583,103.68166,2025-10-17T13:30:00+08:00,29.5
S43,Kim Chuan Road,1.3399,103.8878,2025-10-17T13:30:00+08:00,29.7
S24,Upper Changi Road North,1.3678,103.9826,2025-10-17T13:30:00+08:00,27.3
S06,Paya Lebar,1.3524,103.9007,2025-10-17T13:30:00+08:00,30.1
S111,Scotts Road,1.31055,103.8365,2025-10-17T13:30:00+08:00,30.1
S109,Ang Mo Kio Avenue 5,1.3764,103.8492,2025-10-17T13:45:00+08:00,30.6
S106,Pulau Ubin,1.4168,103.9673,2025-10-17T13:45:00+08:00,29.7
S117,Banyan Road,1.256,103.679,2025-10-17T13:45:00+08:00,31.8
S107,East Coast Parkway,1.3135,103.9625,2025-10-17T13:45:00+08:00,30.6
S115,Tuas South Avenue 3,1.29377,103.61843,2025-10-17T13:45:00+08:00,30.3
S102,Semakau Landfill,1.189,103.768,2025-10-17T13:45:00+08:00,29.7
S60,Sentosa,1.25,103.8279,2025-10-17T13:45:00+08:00,31.7
S50,Clementi Road,1.3337,103.7768,2025-10-17T13:45:00+08:00,30.9
S44,Nanyang Avenue,1.34583,103.68166,2025-10-17T13:45:00+08:00,29.4
