station_id,station_name,latitude,longitude,timestamp,wind direction
S108,Marina Gardens Drive,1.2799,103.8703,2025-10-17T11:00:00+08:00,163
S109,Ang Mo Kio Avenue 5,1.3764,103.8492,2025-10-17T11:00:00+08:00,296
S106,Pulau Ubin,1.4168,103.9673,2025-10-17T11:00:00+08:00,292
S117,Banyan Road,1.256,103.679,2025-10-17T11:00:00+08:00,263
S107,East Coast Parkway,1.3135,103.9625,2025-10-17T11:00:00+08:00,142
S104,Woodlands Avenue 9,1.44387,103.78538,2025-10-17T11:00:00+08:00,246
S115,Tuas South Avenue 3,1.29377,103.61843,2025-10-17T11:00:00+08:00,281
S60,Sentosa,1.25,103.8279,2025-10-17T11:00:00+08:00,182
S50,Clementi Road,1.3337,103.7768,2025-10-17T11:00:00+08:00,317
S44,Nanyang Avenue,1.34583,103.68166,2025-10-17T11:00:00+08:00,9
S43,Kim Chuan Road,1.3399,103.8878,2025-10-17T11:00:00+08:00,297
S06,Paya Lebar,1.3524,103.9007,2025-10-17T11:00:00+08:00,214
S111,Scotts Road,1.31055,103.8365,2025-10-17T11:00:00+08:00,250
S121,Old Choa Chu Kang Road,1.37288,103.72244,2025-10-17T11:00:00+08:00,279
S108,Marina Gardens Drive,1.2799,103.8703,2025-10-17T11:15:00+08:00,154
S109,Ang Mo Kio Avenue 5,1.3764,103.8492,2025-10-17T11:15:00+08:00,292
S106,Pulau Ubin,1.4168,103.9673,2025-10-17T11:15:00+08:00,342
S117,Banyan Road,1.256,103.679,2025-10-17T11:15:00+08:00,268
S107,East Coast Parkway,1.3135,103.9625,2025-10-17T11:15:00+08:00,135
S104,Woodlands Avenue 9,1.44387,103.78538,2025-10-17T11:15:00+08:00,231
S115,Tuas South Avenue 3,1.29377,103.61843,2025-10-17T11:15:00+08:00,284
S60,Sentosa,1.25,103.8279,2025-10-17T11:15:00+08:00,187
S50,Clementi Road,1.3337,103.7768,2025-10-17T11:15:00+08:00,320
S44,Nanyang Avenue,1.34583,103.68166,2025-10-17T11:15:00+08:00,346
S43,Kim Chuan Road,1.3399,103.8878,2025-10-17T11:15:00+08:00,247
S06,Paya Lebar,1.3524,103.9007,2025-10-17T11:15:00+08:00,239
S111,Scotts Road,1.31055,103.8365,2025-10-17T11:15:00+08:00,237
S121,Old Choa Chu Kang Road,1.37288,103.72244,2025-10-17T11:15:00+08:00,296
S108,Marina Gardens Drive,1.2799,103.8703,2025-10-17T11:30:00+08:00,169
S109,Ang Mo Kio Avenue 5,1.3764,103.8492,2025-10-17T11:30:00+08:00,297
S106,Pulau Ubin,1.4168,103.9673,2025-10-17T11:30:00+08:00,20
S117,Banyan Road,1.256,103.679,2025-10-17T11:30:00+08:00,287
S107,East Coast Parkway,1.3135,103.9625,2025-10-17T11:30:00+08:00,128
