station_id,station_name,latitude,longitude,timestamp,wind speed
S108,Marina Gardens Drive,1.2799,103.8703,2025-10-17T11:00:00+08:00,3.7
S109,Ang Mo Kio Avenue 5,1.3764,103.8492,2025-10-17T11:00:00+08:00,2.5
S106,Pulau Ubin,1.4168,103.9673,2025-10-17T11:00:00+08:00,1.9
S117,Banyan Road,1.256,103.679,2025-10-17T11:00:00+08:00,2.5
S107,East Coast Parkway,1.3135,103.9625,2025-10-17T11:00:00+08:00,3.8
S104,Woodlands Avenue 9,1.44387,103.78538,2025-10-17T11:00:00+08:00,3.1
S115,Tuas South Avenue 3,1.29377,103.61843,2025-10-17T11:00:00+08:00,2.8
S60,Sentosa,1.25,103.8279,2025-10-17T11:00:00+08:00,4.4
S50,Clementi Road,1.3337,103.7768,2025-10-17T11:00:00+08:00,2.5
S44,Nanyang Avenue,1.34583,103.68166,2025-10-17T11:00:00+08:00,3.3
S43,Kim Chuan Road,1.3399,103.8878,2025-10-17T11:00:00+08:00,2.4
S06,Paya Lebar,1.3524,103.9007,2025-10-17T11:00:00+08:00,1.7
S111,Scotts Road,1.31055,103.8365,2025-10-17T11:00:00+08:00,3.5
S121,Old Choa Chu Kang Road,1.37288,103.72244,2025-10-17T11:00:00+08:00,2.6
S108,Marina Gardens Drive,1.2799,103.8703,2025-10-17T11:15:00+08:00,3.1
S109,Ang Mo Kio Avenue 5,1.3764,103.8492,2025-10-17T11:15:00+08:00,4.2
S106,Pulau Ubin,1.4168,103.9673,2025-10-17T11:15:00+08:00,2.1
S117,Banyan Road,1.256,103.679,2025-10-17T11:15:00+08:00,3.1
S107,East Coast Parkway,1.3135,103.9625,2025-10-17T11:15:00+08:00,5.4
S104,Woodlands Avenue 9,1.44387,103.78538,2025-10-17T11:15:00+08:00,3.1
S115,Tuas South Avenue 3,1.29377,103.61843,2025-10-17T11:15:00+08:00,2.6
S60,Sentosa,1.25,103.8279,2025-10-17T11:15:00+08:00,5.4
S50,Clementi Road,1.3337,103.7768,2025-10-17T11:15:00+08:00,2.3
S44,Nanyang Avenue,1.34583,103.68166,2025-10-17T11:15:00+08:00,5.4
S43,Kim Chuan Road,1.3399,103.8878,2025-10-17T11:15:00+08:00,2.9
S06,Paya Lebar,1.3524,103.9007,2025-10-17T11:15:00+08:00,1.7
S111,Scotts Road,1.31055,103.8365,2025-10-17T11:15:00+08:00,3.0
S121,Old Choa Chu Kang Road,1.37288,103.72244,2025-10-17T11:15:00+08:00,2.8
S108,Marina Gardens Drive,1.2799,103.8703,2025-10-17T11:30:00+08:00,4.0
S109,Ang Mo Kio Avenue 5,1.3764,103.8492,2025-10-17T11:30:00+08:00,3.4
S106,Pulau Ubin,1.4168,103.9673,2025-10-17T11:30:00+08:00,3.0
S117,Banyan Road,1.256,103.679,2025-10-17T11:30:00+08:00,2.6
S107,East Coast Parkway,1.3135,103.9625,2025-10-17T11:30:00+08:00,5.1
S104,Woodlands Avenue 9,1.44387,103.78538,2025-10-17T11:30:00+08:00,2.5
S115,Tuas South Avenue 3,1.29377,103.61843,2025-10-17T11:30:00+08:00,3.8
S60,Sentosa,1.25,103.8279,2025-10-17T11:30:00+08:00,5.6
S50,Clementi Road,1.3337,103.7768,2025-10-17T11:30:00+08:00,2.2
S44,Nanyang Avenue,1.34583,103.68166,2025-10-17T11:30:00+08:00,3.0
